year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1965,88,76.1,141.9,208.3,117.9,0,18.5,7.1,7.9,1.5,34,72.6
1966,1.3,56.2,281.4,102.5,1.1,0,11.2,0,18.6,6.6,0,1.8
1967,10.4,107.6,106.9,146.8,46.3,17.3,0,0,11.7,34.8,12.5,58.1
1968,23.8,46.5,133.4,204.3,58.4,0,0,7.6,0.5,22.9,35,111.2
1969,86.8,72.6,147,36.2,17.8,7.9,0,5.4,5.4,17.6,21.1,7.3
1970,12.5,78.3,58.9,21.6,6.6,4.7,1.8,15,23.4,0.5,25.4,45.2
1971,0.5,82.5,44.5,66.5,0.3,0,4.3,0,1.5,6.6,0,19
1972,75.7,123.2,137.4,82.3,176.8,8.9,7.6,17.5,67.8,13.2,17.3,51.3
1973,36.1,103.9,148.8,99.1,16.3,0.8,0,1.8,9.7,56.4,24.4,15.2
1974,57.9,80.2,7.4,75.3,52.2,0.5,6.5,0.3,20.2,4.7,0,29.1
1975,19.3,54.5,102.3,193.3,85.5,0,0,22.2,4.9,27.6,1.5,24.4
1976,33.7,94.9,67,76.1,8,0,0,0.6,2.9,5.5,11.4,10.4
1977,94.3,10,37,46.1,7.6,0,0.2,0.4,1.6,1.5,14.2,21.1
1978,35.6,9.3,138.2,37.7,37.6,2.1,20.6,0,0.3,7.1,23.7,4.6
1979,17.6,87.5,90.6,150.6,66.3,2.1,0.2,11.3,0,0.8,25.1,13.9
1980,39.7,75.3,92.6,14.2,49.4,0.7,0,2.3,6.1,12.2,28.5,39.9
1981,51.7,88.2,111.6,105.6,39.2,3.8,12.6,1.9,2.1,15.2,21.5,9.3
1982,14.9,62.6,41.4,8.4,44.2,0.3,1.3,11.6,2.2,0.3,83.1,60.7
1983,32.5,19.2,151,19.5,21.8,1.8,0,9.5,2.6,19.5,7.6,16.6
1984,17.9,65.5,122.8,65,80,0,0.3,4.3,0.5,26.7,48.5,22.1
1985,26.7,10.7,27.7,42.8,34.5,0,0,21.3,0.5,15.6,7.5,98.4
1986,12.2,60.1,151.2,106,18.3,4.1,9.8,17.2,16,2.8,63.6,62.6
1987,0,68.2,139.1,102.4,36,64.5,5.2,1.8,0.3,62.5,0,9.9
1988,83.9,38,225,56.9,38.1,2.1,4.6,28.7,0,10.8,0,79.1
1989,47,64.7,69.8,52.5,61.1,0.1,24.7,0.3,6.3,2.4,27.9,63.5
1990,71.1,77.8,41.6,33.6,5.1,10.4,0,6.3,0.1,19.8,2,119.3
1991,96.5,92.5,159.7,71.1,123.5,20.6,18.3,2.6,113.7,4.6,2.4,23.4
1992,131.1,80,126.8,127.9,82.6,4.3,2.1,10.9,16.3,46.8,13,74.9
1993,22.7,31.9,228.8,49.7,32.6,12.1,13.9,1.1,0,25.9,61.6,5.1
1994,76.1,35.5,65.8,138.7,57.9,0.1,4.1,10.2,27.2,46.2,13.3,52
1995,0,52.8,106.3,101.7,67.9,42.7,0.1,0.1,18.4,53.5,17.1,13.2
1996,8,55.8,185.1,78.7,50,37.8,16.5,1,1.3,52.8,38.1,4.9
1997,20.3,11.6,187.6,138.8,42.3,14,1.2,1.3,4.8,5.6,3.1,15.5
1998,58.2,134,85.6,80.9,58.7,36.1,2.4,8.9,4.6,5.3,0.4,0
1999,32.2,109.6,115.9,109.3,17.6,2,3.8,2,31.3,3.4,67.1,0
2000,51.4,34.8,111.2,18.3,0.5,11.5,5.1,0.8,38.2,22.7,237.2,51.5
2001,20.2,33.9,73.3,15.1,1,0.1,8.7,2.7,19.2,2,26,12.3
2002,13.9,52.6,120.5,118.4,13.3,3.3,0.1,11,1.6,0,15.7,39.5
2003,7.3,103.2,103,91.9,42,9.5,0,1,25.2,16.9,43.2,9.2
2004,42.1,33.5,20,66.4,26.7,7.4,6.6,1.1,20.7,236,14.2,83.5
2005,51.6,124.9,84,86.6,100,9.9,0,2.7,0,35.5,34.2,2
2006,98.3,56.4,38.4,71.6,3,0,0.1,1.1,11.2,3.5,57.2,109.5
2007,11.1,30.8,262.1,94.4,47.7,11.6,1.9,4.7,0,0.2,0,28.8
2008,119.1,26,25.6,122.7,11.9,0,1,0,0,5,59.2,89.6
2009,119.2,147.8,97.4,110.3,36.4,26.8,6,0,3,10.6,74.7,39.6
2010,94.3,151.8,48.7,76.9,78.8,31.2,63.2,33,28.2,3.5,0,0.6
2011,16.5,201.3,60.6,69,20.1,15,0,2,6.2,20.3,7,0
2012,38.6,61,84.3,26.9,31.4,2,0,0,44.6,3.8,10.2,31.9
2013,21,116.6,99.8,74.9,25.9,7.4,1,30.2,1,9,21,7
2014,1.4,55,174.5,43.3,42.2,6.3,0.5,23.7,1,18.2,51.4,0
2015,35.8,132.6,89.2,31.8,48.7,0,24.8,41.2,3.1,31.7,64.4,17.8
2016,34.5,15.7,121.8,149.8,34.8,0,7.1,5,1,0,8.3,20.2
2017,52.2,161.7,43,12.9,10,0.3,0.2,0.5,4.4,0,2.6,18.7
2018,10.6,35.4,60.2,47.6,55.5,0,0.4,1,4.8,15.8,26.3,3.5
